Body Type,Sex,How Often Shower,Heating Energy Source,Social Activity,How Long TV PC Daily Hour,Energy efficiency,Transport,Vehicle Type,Vehicle Monthly Distance Km,Frequency of Traveling by Air,Industry_Sector,Diet,Waste Bag Size,Waste Bag Weekly Count,How Many New Clothes Monthly,How Long Internet Daily Hour,Individual_Component,Transport_Component,Industry_Component,Scope3_Component,Unified_Target
obese,female,twice a day,coal,sometimes,16,Yes,private,petrol,3468,never,Automotive Industry,vegan,small,4,10,18,242,815.3938333791587,64808.56370013151,148,66013.95753351066
overweight,male,daily,wood,never,2,No,public,none,916,never,Automotive Industry,vegan,medium,5,17,3,154,0.0,64808.56370013151,183,65145.56370013151
underweight,male,less frequently,wood,often,24,No,walk/bicycle,none,63,never,Automotive Industry,vegan,extra large,2,31,13,168,0.0,64808.56370013151,218,65194.56370013151
underweight,male,less frequently,natural gas,never,8,Sometimes,walk/bicycle,none,25,never,Logistics,pescatarian,medium,1,39,4,106,0.0,64706.229153879875,284,65096.229153879875
normal,male,more frequently,coal,never,16,No,public,none,1779,rarely,Steel Manufacturing,vegetarian,large,1,1,12,202,0.0,64683.60898531668,82,64967.60898531668
normal,female,daily,coal,never,12,Yes,private,petrol,9759,frequently,Automotive Industry,vegan,extra large,6,18,19,184,2294.52953285675,64808.56370013151,219,67506.09323298826
underweight,male,twice a day,natural gas,often,24,Sometimes,public,none,1669,very frequently,Steel Manufacturing,omnivore,small,1,36,14,168,0.0,64683.60898531668,309,65160.60898531668
normal,female,twice a day,wood,sometimes,19,Sometimes,walk/bicycle,none,2,never,Logistics,vegetarian,large,5,7,9,198,0.0,64706.229153879875,169,65073.229153879875
overweight,male,less frequently,natural gas,never,23,No,public,none,1292,frequently,Cement Production,vegetarian,extra large,1,8,8,156,0.0,64722.400701292994,113,64991.400701292994
normal,female,more frequently,wood,often,13,Yes,public,none,1011,frequently,Automotive Industry,vegetarian,large,6,42,1,176,0.0,64808.56370013151,351,65335.56370013151
obese,female,twice a day,electricity,often,24,Yes,public,none,1182,very frequently,Steel Manufacturing,omnivore,extra large,6,46,5,198,0.0,64683.60898531668,425,65306.60898531668
obese,male,daily,wood,sometimes,11,Yes,public,none,982,rarely,Steel Manufacturing,vegetarian,medium,2,13,20,192,0.0,64683.60898531668,165,65040.60898531668
underweight,female,more frequently,electricity,sometimes,23,Yes,private,hybrid,4222,frequently,Automotive Industry,vegetarian,medium,5,40,6,146,633.3,64808.56370013151,331,65918.86370013151
normal,female,daily,coal,never,18,No,public,none,1065,frequently,Cement Production,vegetarian,large,5,19,3,196,0.0,64722.400701292994,223,65141.400701292994
underweight,male,less frequently,electricity,never,10,No,walk/bicycle,none,83,very frequently,Cement Production,vegan,large,6,0,0,100,0.0,64722.400701292994,110,64932.400701292994
normal,male,twice a day,natural gas,often,4,No,private,petrol,7598,never,Cement Production,vegan,medium,6,12,19,138,1786.436662634039,64722.400701292994,189,66835.83736392703
underweight,female,more frequently,electricity,sometimes,23,Sometimes,walk/bicycle,none,9,very frequently,Logistics,pescatarian,small,2,26,17,146,0.0,64706.229153879875,247,65099.229153879875
normal,female,twice a day,wood,sometimes,24,Yes,walk/bicycle,none,7,frequently,Steel Manufacturing,omnivore,small,4,13,22,208,0.0,64683.60898531668,247,65138.60898531668
overweight,female,daily,natural gas,sometimes,23,Sometimes,public,none,833,never,Steel Manufacturing,pescatarian,medium,5,16,10,166,0.0,64683.60898531668,235,65084.60898531668
obese,female,twice a day,coal,never,14,No,private,diesel,4136,very frequently,Steel Manufacturing,pescatarian,small,2,50,18,238,982.5008914285714,64683.60898531668,368,66272.10987674525
overweight,female,more frequently,wood,never,16,Yes,walk/bicycle,none,20,never,Logistics,vegetarian,small,5,41,4,192,0.0,64706.229153879875,334,65232.229153879875
overweight,male,more frequently,wood,never,3,No,walk/bicycle,none,45,never,Steel Manufacturing,pescatarian,large,4,39,22,166,0.0,64683.60898531668,347,65196.60898531668
underweight,male,daily,coal,sometimes,17,No,public,none,853,very frequently,Logistics,omnivore,extra large,2,11,4,184,0.0,64706.229153879875,189,65079.229153879875
normal,male,less frequently,coal,often,7,Sometimes,private,electric,1388,never,Cement Production,omnivore,large,4,19,7,164,0.0,64722.400701292994,262,65148.400701292994
overweight,male,daily,natural gas,never,21,No,public,none,718,very frequently,Automotive Industry,omnivore,medium,7,28,10,162,0.0,64808.56370013151,355,65325.56370013151
normal,male,less frequently,wood,often,4,Sometimes,walk/bicycle,none,43,rarely,Steel Manufacturing,pescatarian,medium,3,17,0,138,0.0,64683.60898531668,200,65021.60898531668
overweight,male,less frequently,electricity,never,18,Yes,public,none,97,rarely,Steel Manufacturing,vegan,medium,3,34,11,136,0.0,64683.60898531668,246,65065.60898531668
underweight,female,twice a day,coal,often,2,Sometimes,public,none,1149,very frequently,Cement Production,vegetarian,medium,3,37,17,174,0.0,64722.400701292994,297,65193.400701292994
underweight,male,less frequently,electricity,sometimes,0,No,private,lpg,4917,never,Automotive Industry,pescatarian,large,7,45,9,80,1352.6268324324326,64808.56370013151,409,66650.19053256394
underweight,female,twice a day,coal,often,3,No,private,diesel,3038,frequently,Logistics,vegan,large,7,4,14,176,721.67256,64706.229153879875,159,65762.90171387988
overweight,male,less frequently,natural gas,sometimes,21,No,walk/bicycle,none,16,rarely,Automotive Industry,pescatarian,small,4,10,8,152,0.0,64808.56370013151,188,65148.56370013151
normal,male,daily,wood,never,20,No,private,petrol,1657,rarely,Cement Production,vegetarian,extra large,2,50,8,180,389.59272834753915,64722.400701292994,338,65629.99342964054
overweight,male,twice a day,coal,sometimes,9,No,walk/bicycle,none,49,very frequently,Cement Production,omnivore,small,5,33,24,208,0.0,64722.400701292994,364,65294.400701292994
overweight,female,less frequently,natural gas,often,7,Sometimes,walk/bicycle,none,65,frequently,Automotive Industry,vegetarian,extra large,6,37,8,124,0.0,64808.56370013151,333,65265.56370013151
normal,female,twice a day,coal,never,4,No,private,petrol,2439,very frequently,Logistics,vegetarian,small,3,9,1,188,573.4560437173494,64706.229153879875,141,65608.68519759722
normal,male,daily,wood,sometimes,15,Sometimes,public,none,205,never,Logistics,pescatarian,large,5,34,19,170,0.0,64706.229153879875,334,65210.229153879875
normal,male,daily,wood,never,15,No,walk/bicycle,none,20,frequently,Steel Manufacturing,omnivore,small,1,2,23,170,0.0,64683.60898531668,148,65001.60898531668
underweight,male,twice a day,natural gas,sometimes,18,Sometimes,walk/bicycle,none,86,very frequently,Logistics,vegetarian,small,2,4,4,156,0.0,64706.229153879875,104,64966.229153879875
obese,male,more frequently,coal,often,0,Yes,public,none,149,frequently,Automotive Industry,vegetarian,extra large,6,40,3,200,0.0,64808.56370013151,343,65351.56370013151
obese,male,twice a day,electricity,sometimes,22,Sometimes,walk/bicycle,none,70,very frequently,Cement Production,vegan,extra large,1,42,13,194,0.0,64722.400701292994,258,65174.400701292994
normal,male,less frequently,wood,never,2,Yes,private,diesel,9151,frequently,Steel Manufacturing,pescatarian,small,7,33,23,134,2173.806977142857,64683.60898531668,363,67354.41596245953
underweight,female,less frequently,wood,often,7,Yes,walk/bicycle,none,92,very frequently,Steel Manufacturing,pescatarian,extra large,4,28,6,134,0.0,64683.60898531668,276,65093.60898531668
normal,male,more frequently,wood,never,2,Sometimes,walk/bicycle,none,5,frequently,Cement Production,pescatarian,extra large,2,7,23,154,0.0,64722.400701292994,158,65034.400701292994
normal,male,more frequently,natural gas,sometimes,2,No,public,none,1295,frequently,Logistics,pescatarian,medium,7,27,1,124,0.0,64706.229153879875,311,65141.229153879875
overweight,male,twice a day,wood,often,15,No,public,none,1475,never,Cement Production,vegan,large,3,13,15,200,0.0,64722.400701292994,145,65067.400701292994
overweight,male,less frequently,natural gas,never,13,No,private,lpg,1197,rarely,Logistics,vegan,large,6,11,3,136,329.28499459459465,64706.229153879875,168,65339.51414847447
obese,female,more frequently,electricity,never,4,Sometimes,public,none,1467,very frequently,Cement Production,pescatarian,extra large,4,45,23,148,0.0,64722.400701292994,378,65248.400701292994
overweight,female,twice a day,coal,never,15,Yes,private,lpg,1526,rarely,Automotive Industry,vegetarian,small,2,4,9,220,419.7902270270271,64808.56370013151,109,65557.35392715855
obese,male,daily,coal,never,22,Sometimes,private,electric,4621,never,Logistics,omnivore,medium,4,46,1,234,0.0,64706.229153879875,391,65331.229153879875
overweight,male,more frequently,electricity,sometimes,12,No,private,lpg,3953,very frequently,Automotive Industry,pescatarian,medium,6,11,22,144,1087.4382486486488,64808.56370013151,237,66277.00194878016
overweight,female,daily,natural gas,never,7,Sometimes,walk/bicycle,none,60,never,Steel Manufacturing,vegetarian,medium,1,22,21,134,0.0,64683.60898531668,196,65013.60898531668
underweight,female,twice a day,electricity,sometimes,9,Yes,walk/bicycle,none,68,frequently,Cement Production,vegan,extra large,2,25,7,128,0.0,64722.400701292994,182,65032.400701292994
overweight,male,twice a day,natural gas,never,24,No,private,electric,2184,rarely,Steel Manufacturing,pescatarian,medium,6,33,15,188,0.0,64683.60898531668,340,65211.60898531668
underweight,female,less frequently,natural gas,often,11,Sometimes,walk/bicycle,none,3,frequently,Steel Manufacturing,vegetarian,large,5,17,15,112,0.0,64683.60898531668,225,65020.60898531668
normal,male,less frequently,electricity,sometimes,8,Sometimes,public,none,1707,frequently,Steel Manufacturing,vegan,large,1,29,16,106,0.0,64683.60898531668,196,64985.60898531668
normal,female,more frequently,natural gas,often,10,No,private,diesel,1655,very frequently,Steel Manufacturing,vegetarian,small,6,26,1,140,393.14288571428574,64683.60898531668,271,65487.75187103097
normal,male,less frequently,natural gas,often,17,No,private,diesel,5746,very frequently,Cement Production,pescatarian,medium,7,49,10,134,1364.9540914285715,64722.400701292994,430,66651.35479272157
overweight,female,twice a day,electricity,never,21,Sometimes,public,none,1166,rarely,Steel Manufacturing,pescatarian,medium,5,38,18,172,0.0,64683.60898531668,353,65208.60898531668
underweight,female,daily,wood,often,6,Yes,private,hybrid,1844,very frequently,Cement Production,omnivore,small,7,5,8,142,276.6,64722.400701292994,238,65379.00070129299
underweight,male,less frequently,coal,often,1,Sometimes,walk/bicycle,none,66,very frequently,Cement Production,vegan,large,7,5,12,142,0.0,64722.400701292994,162,65026.400701292994
underweight,female,daily,electricity,often,16,Yes,walk/bicycle,none,9,never,Automotive Industry,pescatarian,large,4,31,6,122,0.0,64808.56370013151,291,65221.56370013151
obese,female,less frequently,electricity,never,24,No,private,lpg,8133,rarely,Logistics,omnivore,extra large,4,21,23,168,2237.322356756757,64706.229153879875,288,67399.55151063664
overweight,female,less frequently,coal,often,9,Yes,public,none,1893,rarely,Logistics,vegan,medium,2,39,1,178,0.0,64706.229153879875,246,65130.229153879875
underweight,male,daily,wood,sometimes,14,No,walk/bicycle,none,59,very frequently,Cement Production,vegetarian,small,7,22,9,158,0.0,64722.400701292994,274,65154.400701292994
overweight,female,more frequently,natural gas,often,3,Sometimes,private,petrol,6388,frequently,Automotive Industry,vegan,extra large,3,48,9,136,1501.9422744019796,64808.56370013151,314,66760.50597453349
obese,male,less frequently,natural gas,often,3,No,public,none,678,frequently,Cement Production,omnivore,small,1,1,19,136,0.0,64722.400701292994,139,64997.400701292994
overweight,male,less frequently,electricity,never,16,Sometimes,private,diesel,4861,frequently,Cement Production,pescatarian,large,6,24,3,132,1154.7236057142857,64722.400701292994,283,66292.12430700728
underweight,female,daily,wood,sometimes,18,Yes,private,electric,1098,rarely,Cement Production,vegetarian,medium,6,26,6,166,0.0,64722.400701292994,276,65164.400701292994
underweight,male,more frequently,natural gas,never,16,No,private,diesel,8031,rarely,Automotive Industry,pescatarian,extra large,1,29,15,142,1907.752577142857,64808.56370013151,245,67103.31627727437
underweight,male,less frequently,electricity,never,22,Yes,private,lpg,3597,very frequently,Logistics,vegan,large,6,5,6,124,989.5055351351352,64706.229153879875,141,65960.73468901501
underweight,male,daily,coal,sometimes,12,No,walk/bicycle,none,27,rarely,Automotive Industry,vegan,small,5,7,16,174,0.0,64808.56370013151,146,65128.56370013151
obese,female,twice a day,electricity,never,3,Yes,private,petrol,2019,very frequently,Steel Manufacturing,pescatarian,small,5,27,0,156,474.70592548803955,64683.60898531668,280,65594.31491080471
normal,male,twice a day,coal,never,8,No,private,electric,4880,rarely,Automotive Industry,vegetarian,small,1,24,9,196,0.0,64808.56370013151,194,65198.56370013151
underweight,female,daily,electricity,often,19,No,public,none,494,never,Automotive Industry,vegetarian,medium,4,30,5,128,0.0,64808.56370013151,265,65201.56370013151
overweight,female,daily,coal,often,9,No,public,none,787,rarely,Automotive Industry,omnivore,small,4,42,19,188,0.0,64808.56370013151,389,65385.56370013151
underweight,male,twice a day,electricity,sometimes,15,Yes,walk/bicycle,none,24,never,Automotive Industry,omnivore,large,1,19,2,140,0.0,64808.56370013151,212,65160.56370013151
obese,female,more frequently,wood,never,13,Sometimes,public,none,1529,frequently,Logistics,pescatarian,small,2,29,16,206,0.0,64706.229153879875,261,65173.229153879875
underweight,female,less frequently,natural gas,sometimes,20,No,public,none,1088,very frequently,Steel Manufacturing,omnivore,large,5,24,15,130,0.0,64683.60898531668,310,65123.60898531668
normal,male,less frequently,natural gas,never,22,Sometimes,public,none,966,very frequently,Logistics,omnivore,extra large,2,29,19,144,0.0,64706.229153879875,294,65144.229153879875
obese,female,twice a day,electricity,sometimes,21,Yes,private,lpg,6691,frequently,Logistics,vegan,extra large,5,33,16,192,1840.639848648649,64706.229153879875,276,67014.86900252852
normal,male,daily,wood,often,14,Sometimes,walk/bicycle,none,49,very frequently,Automotive Industry,vegan,extra large,7,7,17,168,0.0,64808.56370013151,177,65153.56370013151
underweight,male,less frequently,wood,often,20,No,public,none,539,very frequently,Cement Production,pescatarian,large,2,41,19,160,0.0,64722.400701292994,324,65206.400701292994
underweight,female,daily,wood,never,6,Sometimes,private,lpg,2411,never,Cement Production,vegan,extra large,7,49,18,142,663.2465513513514,64722.400701292994,388,65915.64725264435
overweight,male,twice a day,wood,never,11,Sometimes,private,electric,5689,never,Logistics,vegan,extra large,7,45,6,192,0.0,64706.229153879875,356,65254.229153879875
underweight,female,less frequently,natural gas,sometimes,24,Sometimes,public,none,421,frequently,Logistics,vegan,large,7,28,19,138,0.0,64706.229153879875,284,65128.229153879875
obese,male,daily,wood,never,16,Sometimes,private,electric,625,rarely,Automotive Industry,vegan,extra large,1,25,19,202,0.0,64808.56370013151,179,65189.56370013151
normal,male,daily,wood,sometimes,15,No,walk/bicycle,none,63,frequently,Logistics,vegan,extra large,7,12,0,170,0.0,64706.229153879875,185,65061.229153879875
obese,male,less frequently,electricity,never,23,No,walk/bicycle,none,15,very frequently,Automotive Industry,vegetarian,small,7,33,14,166,0.0,64808.56370013151,334,65308.56370013151
obese,male,more frequently,coal,often,14,Yes,public,none,1986,frequently,Cement Production,omnivore,medium,2,18,10,228,0.0,64722.400701292994,230,65180.400701292994
obese,male,less frequently,natural gas,sometimes,15,Sometimes,walk/bicycle,none,37,very frequently,Cement Production,pescatarian,large,5,20,8,160,0.0,64722.400701292994,253,65135.400701292994
normal,female,daily,natural gas,often,4,No,public,none,1824,never,Steel Manufacturing,vegan,small,7,47,1,118,0.0,64683.60898531668,361,65162.60898531668
normal,female,less frequently,coal,often,3,No,private,electric,3102,rarely,Cement Production,omnivore,extra large,3,19,14,156,0.0,64722.400701292994,254,65132.400701292994
normal,female,twice a day,electricity,sometimes,9,Yes,walk/bicycle,none,6,never,Logistics,omnivore,small,1,23,20,138,0.0,64706.229153879875,250,65094.229153879875
normal,female,twice a day,coal,often,5,Yes,walk/bicycle,none,98,rarely,Cement Production,pescatarian,extra large,7,14,12,190,0.0,64722.400701292994,257,65169.400701292994
obese,female,daily,natural gas,often,17,No,public,none,723,very frequently,Automotive Industry,vegan,small,6,43,5,174,0.0,64808.56370013151,330,65312.56370013151
normal,female,twice a day,wood,never,23,Yes,public,none,1763,rarely,Cement Production,vegan,small,4,39,11,206,0.0,64722.400701292994,286,65214.400701292994
obese,male,less frequently,electricity,often,19,Yes,walk/bicycle,none,79,frequently,Steel Manufacturing,pescatarian,medium,7,25,8,158,0.0,64683.60898531668,308,65149.60898531668
normal,female,less frequently,wood,never,3,No,private,lpg,8769,never,Cement Production,vegan,extra large,2,29,0,136,2412.2808000000005,64722.400701292994,195,67465.681501293
overweight,male,more frequently,wood,sometimes,14,Sometimes,public,none,1979,never,Automotive Industry,pescatarian,medium,1,36,18,188,0.0,64808.56370013151,283,65279.56370013151
normal,male,twice a day,coal,often,1,No,walk/bicycle,none,48,frequently,Automotive Industry,pescatarian,large,2,31,6,182,0.0,64808.56370013151,261,65251.56370013151
underweight,male,daily,wood,never,24,Yes,private,diesel,8909,rarely,Logistics,vegetarian,extra large,4,1,14,178,2116.3202228571427,64706.229153879875,129,67129.54937673702
obese,female,twice a day,natural gas,often,6,No,public,none,1657,never,Cement Production,omnivore,medium,5,23,12,172,0.0,64722.400701292994,302,65196.400701292994
underweight,male,twice a day,natural gas,never,20,Yes,walk/bicycle,none,54,rarely,Automotive Industry,vegetarian,extra large,3,50,18,160,0.0,64808.56370013151,363,65331.56370013151
obese,female,more frequently,natural gas,sometimes,15,Yes,walk/bicycle,none,45,never,Steel Manufacturing,pescatarian,extra large,5,13,15,180,0.0,64683.60898531668,225,65088.60898531668
overweight,female,twice a day,coal,sometimes,12,No,public,none,1016,frequently,Logistics,pescatarian,medium,4,0,22,214,0.0,64706.229153879875,152,65072.229153879875
obese,male,less frequently,wood,sometimes,18,Sometimes,private,petrol,1999,very frequently,Steel Manufacturing,vegetarian,extra large,3,44,12,196,470.00353890569147,64683.60898531668,327,65676.61252422238
overweight,female,twice a day,electricity,never,6,No,public,none,712,rarely,Cement Production,vegan,medium,6,43,21,142,0.0,64722.400701292994,346,65210.400701292994
normal,female,more frequently,wood,sometimes,3,Sometimes,public,none,1779,never,Cement Production,pescatarian,extra large,3,7,23,156,0.0,64722.400701292994,173,65051.400701292994
normal,male,more frequently,electricity,often,4,Sometimes,private,diesel,3215,never,Cement Production,pescatarian,small,6,7,12,118,763.7186571428571,64722.400701292994,207,65811.11935843586
normal,male,daily,electricity,never,10,No,public,none,1624,never,Logistics,pescatarian,extra large,3,35,0,120,0.0,64706.229153879875,290,65116.229153879875
overweight,male,twice a day,wood,often,4,No,public,none,553,very frequently,Automotive Industry,pescatarian,large,4,21,3,178,0.0,64808.56370013151,238,65224.56370013151
obese,female,twice a day,coal,sometimes,21,Yes,walk/bicycle,none,93,very frequently,Logistics,omnivore,medium,6,48,13,252,0.0,64706.229153879875,443,65401.229153879875
obese,female,daily,coal,never,11,Yes,walk/bicycle,none,66,frequently,Steel Manufacturing,vegan,medium,1,41,23,212,0.0,64683.60898531668,263,65158.60898531668
underweight,male,less frequently,wood,never,4,No,public,none,1582,rarely,Logistics,omnivore,small,7,26,20,128,0.0,64706.229153879875,355,65189.229153879875
underweight,female,more frequently,natural gas,often,14,Yes,private,petrol,7233,rarely,Steel Manufacturing,pescatarian,medium,6,40,9,138,1700.6181075061866,64683.60898531668,369,66891.22709282287
normal,female,less frequently,electricity,never,14,No,private,diesel,1188,rarely,Logistics,vegan,medium,5,17,0,118,282.20770285714286,64706.229153879875,180,65286.43685673702
overweight,female,daily,electricity,never,1,No,public,none,1544,frequently,Automotive Industry,omnivore,large,6,46,18,112,0.0,64808.56370013151,438,65358.56370013151
normal,female,twice a day,natural gas,often,21,Yes,public,none,1045,rarely,Steel Manufacturing,omnivore,large,2,20,5,172,0.0,64683.60898531668,235,65090.60898531668
overweight,female,less frequently,wood,often,1,Yes,private,lpg,9368,frequently,Cement Production,omnivore,medium,4,34,21,142,2577.0608432432437,64722.400701292994,351,67792.46154453624
overweight,female,less frequently,wood,often,4,Sometimes,walk/bicycle,none,95,rarely,Cement Production,vegan,extra large,4,7,3,148,0.0,64722.400701292994,118,64988.400701292994
overweight,male,less frequently,natural gas,never,13,No,public,none,1105,rarely,Logistics,pescatarian,large,2,4,14,136,0.0,64706.229153879875,134,64976.229153879875
underweight,female,less frequently,natural gas,sometimes,9,No,walk/bicycle,none,89,frequently,Cement Production,vegan,extra large,6,37,22,108,0.0,64722.400701292994,317,65147.400701292994
overweight,male,less frequently,wood,sometimes,14,No,private,hybrid,7827,frequently,Steel Manufacturing,vegan,large,2,23,10,168,1174.05,64683.60898531668,175,66200.65898531668
obese,male,less frequently,natural gas,sometimes,8,Sometimes,walk/bicycle,none,23,rarely,Cement Production,omnivore,medium,5,40,4,146,0.0,64722.400701292994,379,65247.400701292994
obese,male,less frequently,natural gas,never,6,Yes,private,lpg,1300,very frequently,Automotive Industry,pescatarian,extra large,5,2,17,142,357.61945945945945,64808.56370013151,172,65480.18315959097
underweight,female,less frequently,wood,never,12,Yes,public,none,810,never,Automotive Industry,omnivore,extra large,3,22,7,144,0.0,64808.56370013151,262,65214.56370013151
normal,female,less frequently,natural gas,often,12,No,walk/bicycle,none,25,frequently,Logistics,omnivore,medium,3,20,21,124,0.0,64706.229153879875,266,65096.229153879875
underweight,male,less frequently,natural gas,never,23,Yes,walk/bicycle,none,62,frequently,Steel Manufacturing,vegan,large,5,2,22,136,0.0,64683.60898531668,127,64946.60898531668
normal,female,daily,coal,often,7,No,public,none,1634,rarely,Automotive Industry,pescatarian,large,4,36,24,174,0.0,64808.56370013151,334,65316.56370013151
normal,male,daily,natural gas,sometimes,5,Yes,private,hybrid,8366,frequently,Automotive Industry,vegetarian,medium,6,18,22,120,1254.9,64808.56370013151,252,66435.46370013151
obese,male,daily,coal,sometimes,21,Sometimes,private,diesel,9901,rarely,Steel Manufacturing,omnivore,extra large,1,25,10,232,2351.9684057142854,64683.60898531668,250,67517.57739103097
overweight,male,twice a day,wood,never,0,No,public,none,57,rarely,Cement Production,omnivore,large,6,11,21,170,0.0,64722.400701292994,266,65158.400701292994
underweight,female,less frequently,natural gas,often,19,No,private,lpg,9662,never,Cement Production,omnivore,large,2,43,1,128,2657.9378594594596,64722.400701292994,346,67854.33856075245
overweight,female,daily,electricity,sometimes,24,Sometimes,private,electric,4009,frequently,Logistics,pescatarian,medium,7,29,23,158,0.0,64706.229153879875,343,65207.229153879875
normal,male,daily,electricity,sometimes,23,No,public,none,1877,never,Cement Production,vegetarian,extra large,6,4,12,146,0.0,64722.400701292994,172,65040.400701292994
normal,male,more frequently,electricity,never,13,No,walk/bicycle,none,20,frequently,Steel Manufacturing,pescatarian,small,6,3,18,136,0.0,64683.60898531668,193,65012.60898531668
normal,female,more frequently,natural gas,never,8,Sometimes,private,electric,3438,frequently,Automotive Industry,vegan,medium,6,11,19,136,0.0,64808.56370013151,184,65128.56370013151
underweight,female,daily,coal,never,19,No,walk/bicycle,none,95,never,Cement Production,vegan,small,2,9,3,188,0.0,64722.400701292994,98,65008.400701292994
underweight,female,less frequently,electricity,sometimes,19,Yes,walk/bicycle,none,68,frequently,Logistics,pescatarian,medium,6,4,16,118,0.0,64706.229153879875,196,65020.229153879875
normal,female,more frequently,coal,never,6,Yes,public,none,801,never,Cement Production,pescatarian,medium,3,3,12,182,0.0,64722.400701292994,142,65046.400701292994
underweight,female,less frequently,natural gas,never,8,Sometimes,walk/bicycle,none,61,never,Steel Manufacturing,vegetarian,medium,3,20,0,106,0.0,64683.60898531668,195,64984.60898531668
underweight,male,more frequently,coal,never,8,No,private,petrol,343,frequently,Logistics,vegan,large,1,36,15,176,80.64592988726973,64706.229153879875,230,65192.87508376715
underweight,female,less frequently,electricity,often,18,No,walk/bicycle,none,64,frequently,Cement Production,vegetarian,large,7,44,5,116,0.0,64722.400701292994,380,65218.400701292994
underweight,male,daily,coal,never,4,Sometimes,public,none,1656,frequently,Logistics,vegan,extra large,6,11,24,158,0.0,64706.229153879875,189,65053.229153879875
normal,male,less frequently,natural gas,never,0,No,walk/bicycle,none,92,very frequently,Steel Manufacturing,pescatarian,extra large,1,21,7,100,0.0,64683.60898531668,197,64980.60898531668
obese,female,less frequently,wood,never,12,No,public,none,1062,never,Automotive Industry,vegetarian,small,2,2,3,184,0.0,64808.56370013151,93,65085.56370013151
normal,male,more frequently,coal,never,12,No,public,none,1292,rarely,Steel Manufacturing,vegetarian,small,6,41,15,194,0.0,64683.60898531668,360,65237.60898531668
underweight,male,twice a day,wood,sometimes,20,Yes,walk/bicycle,none,10,frequently,Steel Manufacturing,vegetarian,small,4,47,21,190,0.0,64683.60898531668,366,65239.60898531668
overweight,male,more frequently,coal,never,15,No,walk/bicycle,none,78,rarely,Steel Manufacturing,omnivore,small,4,25,16,210,0.0,64683.60898531668,301,65194.60898531668
underweight,male,twice a day,coal,never,7,Sometimes,walk/bicycle,none,74,frequently,Steel Manufacturing,vegetarian,extra large,2,37,22,184,0.0,64683.60898531668,287,65154.60898531668
normal,female,twice a day,electricity,often,13,Sometimes,public,none,1342,very frequently,Automotive Industry,pescatarian,medium,6,11,1,146,0.0,64808.56370013151,216,65170.56370013151
obese,male,twice a day,electricity,often,9,Sometimes,walk/bicycle,none,19,never,Automotive Industry,vegetarian,small,7,47,2,168,0.0,64808.56370013151,392,65368.56370013151
underweight,female,daily,wood,never,4,Sometimes,walk/bicycle,none,66,rarely,Logistics,vegan,extra large,1,27,9,138,0.0,64706.229153879875,179,65023.229153879875
obese,female,twice a day,electricity,never,23,No,private,hybrid,7585,never,Cement Production,omnivore,medium,5,26,12,196,1137.75,64722.400701292994,317,66373.150701293
overweight,male,more frequently,coal,never,1,Sometimes,private,electric,1762,never,Automotive Industry,vegetarian,medium,7,29,8,182,0.0,64808.56370013151,308,65298.56370013151
normal,male,twice a day,electricity,sometimes,3,No,walk/bicycle,none,53,frequently,Automotive Industry,pescatarian,small,6,35,13,126,0.0,64808.56370013151,348,65282.56370013151
obese,male,less frequently,coal,never,24,Yes,walk/bicycle,none,14,very frequently,Cement Production,omnivore,large,1,20,16,228,0.0,64722.400701292994,231,65181.400701292994
obese,female,daily,natural gas,often,24,Yes,public,none,931,frequently,Automotive Industry,vegetarian,small,7,10,2,188,0.0,64808.56370013151,207,65203.56370013151
overweight,male,twice a day,wood,often,9,Sometimes,public,none,149,very frequently,Steel Manufacturing,vegan,small,4,41,6,188,0.0,64683.60898531668,291,65162.60898531668
normal,male,daily,wood,never,24,Yes,walk/bicycle,none,25,rarely,Steel Manufacturing,pescatarian,small,3,3,23,188,0.0,64683.60898531668,153,65024.60898531668
normal,male,daily,natural gas,often,3,Sometimes,private,hybrid,1952,rarely,Cement Production,vegetarian,large,2,15,14,116,292.8,64722.400701292994,169,65300.200701293
obese,male,less frequently,electricity,never,10,Sometimes,private,hybrid,932,very frequently,Logistics,pescatarian,small,6,1,16,140,139.8,64706.229153879875,181,65167.02915387988
overweight,female,more frequently,wood,never,9,Yes,private,hybrid,2924,very frequently,Logistics,vegetarian,medium,2,11,9,178,438.6,64706.229153879875,144,65466.82915387987
underweight,female,twice a day,electricity,never,12,Sometimes,walk/bicycle,none,29,rarely,Cement Production,pescatarian,small,1,9,20,134,0.0,64722.400701292994,150,65006.400701292994
obese,female,daily,coal,sometimes,7,No,public,none,1574,rarely,Cement Production,omnivore,large,6,36,2,204,0.0,64722.400701292994,372,65298.400701292994
underweight,female,more frequently,natural gas,sometimes,13,Sometimes,walk/bicycle,none,77,very frequently,Steel Manufacturing,vegan,small,6,19,12,136,0.0,64683.60898531668,217,65036.60898531668
overweight,male,more frequently,natural gas,often,0,Sometimes,walk/bicycle,none,62,frequently,Logistics,omnivore,small,6,14,12,130,0.0,64706.229153879875,272,65108.229153879875
normal,male,twice a day,wood,sometimes,8,Sometimes,private,diesel,1884,never,Automotive Industry,vegan,large,4,27,1,176,447.54150857142855,64808.56370013151,216,65648.10520870294
normal,female,more frequently,coal,sometimes,14,Yes,public,none,452,rarely,Steel Manufacturing,omnivore,medium,7,27,4,198,0.0,64683.60898531668,344,65225.60898531668
